"Year","Anomoly.C","Anomoly.F","Source"
1916,-0.32,-0.576,"NASA"
1917,-0.39,-0.702,"NASA"
1918,-0.24,-0.432,"NASA"
1919,-0.21,-0.378,"NASA"
1920,-0.25,-0.45,"NASA"
1921,-0.2,-0.36,"NASA"
1922,-0.26,-0.468,"NASA"
1923,-0.22,-0.396,"NASA"
1924,-0.27,-0.486,"NASA"
1925,-0.19,-0.342,"NASA"
1926,-0.08,-0.144,"NASA"
1927,-0.2,-0.36,"NASA"
1928,-0.2,-0.36,"NASA"
1929,-0.35,-0.63,"NASA"
1930,-0.14,-0.252,"NASA"
1931,-0.09,-0.162,"NASA"
1932,-0.16,-0.288,"NASA"
1933,-0.28,-0.504,"NASA"
1934,-0.13,-0.234,"NASA"
1935,-0.19,-0.342,"NASA"
1936,-0.14,-0.252,"NASA"
1937,-0.02,-0.036,"NASA"
1938,-0.03,-0.054,"NASA"
1939,-0.03,-0.054,"NASA"
1940,0.08,0.144,"NASA"
1941,0.13,0.234,"NASA"
1942,0.1,0.18,"NASA"
1943,0.13,0.234,"NASA"
1944,0.25,0.45,"NASA"
1945,0.12,0.216,"NASA"
1946,-0.03,-0.054,"NASA"
1947,-0.05,-0.09,"NASA"
1948,-0.09,-0.162,"NASA"
1949,-0.09,-0.162,"NASA"
1950,-0.18,-0.324,"NASA"
1951,-0.07,-0.126,"NASA"
1952,0.01,0.018,"NASA"
1953,0.08,0.144,"NASA"
1954,-0.12,-0.216,"NASA"
1955,-0.15,-0.27,"NASA"
1956,-0.2,-0.36,"NASA"
1957,0.04,0.072,"NASA"
1958,0.07,0.126,"NASA"
1959,0.03,0.054,"NASA"
1960,-0.02,-0.036,"NASA"
1961,0.05,0.09,"NASA"
1962,0.03,0.054,"NASA"
1963,0.06,0.108,"NASA"
1964,-0.2,-0.36,"NASA"
1965,-0.1,-0.18,"NASA"
1966,-0.05,-0.09,"NASA"
1967,-0.02,-0.036,"NASA"
1968,-0.07,-0.126,"NASA"
1969,0.07,0.126,"NASA"
1970,0.02,0.036,"NASA"
1971,-0.09,-0.162,"NASA"
1972,0.01,0.018,"NASA"
1973,0.15,0.27,"NASA"
1974,-0.08,-0.144,"NASA"
1975,-0.02,-0.036,"NASA"
1976,-0.12,-0.216,"NASA"
1977,0.18,0.324,"NASA"
1978,0.07,0.126,"NASA"
1979,0.17,0.306,"NASA"
1980,0.27,0.486,"NASA"
1981,0.32,0.576,"NASA"
1982,0.13,0.234,"NASA"
1983,0.3,0.54,"NASA"
1984,0.15,0.27,"NASA"
1985,0.11,0.198,"NASA"
1986,0.19,0.342,"NASA"
1987,0.33,0.594,"NASA"
1988,0.4,0.72,"NASA"
1989,0.28,0.504,"NASA"
1990,0.44,0.792,"NASA"
1991,0.42,0.756,"NASA"
1992,0.22,0.396,"NASA"
1993,0.24,0.432,"NASA"
1994,0.32,0.576,"NASA"
1995,0.45,0.81,"NASA"
1996,0.35,0.63,"NASA"
1997,0.48,0.864,"NASA"
1998,0.63,1.134,"NASA"
1999,0.42,0.756,"NASA"
2000,0.42,0.756,"NASA"
2001,0.54,0.972,"NASA"
2002,0.63,1.134,"NASA"
2003,0.62,1.116,"NASA"
2004,0.54,0.972,"NASA"
2005,0.69,1.242,"NASA"
2006,0.63,1.134,"NASA"
2007,0.66,1.188,"NASA"
2008,0.53,0.954,"NASA"
2009,0.64,1.152,"NASA"
2010,0.71,1.278,"NASA"
2011,0.6,1.08,"NASA"
2012,0.63,1.134,"NASA"
2013,0.66,1.188,"NASA"
2014,0.74,1.332,"NASA"
2015,0.86,1.548,"NASA"
2016,0.98,1.764,"NASA"
