"Year","Anomoly.C","Anomoly.F","Source"
1916,-0.3,-0.54,"NOAA"
1917,-0.32,-0.576,"NOAA"
1918,-0.21,-0.378,"NOAA"
1919,-0.21,-0.378,"NOAA"
1920,-0.22,-0.396,"NOAA"
1921,-0.15,-0.27,"NOAA"
1922,-0.23,-0.414,"NOAA"
1923,-0.22,-0.396,"NOAA"
1924,-0.26,-0.468,"NOAA"
1925,-0.15,-0.27,"NOAA"
1926,-0.07,-0.126,"NOAA"
1927,-0.15,-0.27,"NOAA"
1928,-0.18,-0.324,"NOAA"
1929,-0.3,-0.54,"NOAA"
1930,-0.11,-0.198,"NOAA"
1931,-0.08,-0.144,"NOAA"
1932,-0.12,-0.216,"NOAA"
1933,-0.25,-0.45,"NOAA"
1934,-0.11,-0.198,"NOAA"
1935,-0.14,-0.252,"NOAA"
1936,-0.12,-0.216,"NOAA"
1937,-0.02,-0.036,"NOAA"
1938,-0.03,-0.054,"NOAA"
1939,-0.01,-0.018,"NOAA"
1940,0.1,0.18,"NOAA"
1941,0.2,0.36,"NOAA"
1942,0.15,0.27,"NOAA"
1943,0.16,0.288,"NOAA"
1944,0.29,0.522,"NOAA"
1945,0.17,0.306,"NOAA"
1946,0,0,"NOAA"
1947,-0.05,-0.09,"NOAA"
1948,-0.05,-0.09,"NOAA"
1949,-0.06,-0.108,"NOAA"
1950,-0.16,-0.288,"NOAA"
1951,-0.01,-0.018,"NOAA"
1952,0.03,0.054,"NOAA"
1953,0.1,0.18,"NOAA"
1954,-0.11,-0.198,"NOAA"
1955,-0.13,-0.234,"NOAA"
1956,-0.2,-0.36,"NOAA"
1957,0.05,0.09,"NOAA"
1958,0.11,0.198,"NOAA"
1959,0.06,0.108,"NOAA"
1960,0.02,0.036,"NOAA"
1961,0.08,0.144,"NOAA"
1962,0.09,0.162,"NOAA"
1963,0.11,0.198,"NOAA"
1964,-0.15,-0.27,"NOAA"
1965,-0.07,-0.126,"NOAA"
1966,-0.02,-0.036,"NOAA"
1967,-0.01,-0.018,"NOAA"
1968,-0.03,-0.054,"NOAA"
1969,0.1,0.18,"NOAA"
1970,0.04,0.072,"NOAA"
1971,-0.08,-0.144,"NOAA"
1972,0.03,0.054,"NOAA"
1973,0.17,0.306,"NOAA"
1974,-0.07,-0.126,"NOAA"
1975,0,0,"NOAA"
1976,-0.08,-0.144,"NOAA"
1977,0.2,0.36,"NOAA"
1978,0.11,0.198,"NOAA"
1979,0.23,0.414,"NOAA"
1980,0.27,0.486,"NOAA"
1981,0.3,0.54,"NOAA"
1982,0.18,0.324,"NOAA"
1983,0.34,0.612,"NOAA"
1984,0.15,0.27,"NOAA"
1985,0.14,0.252,"NOAA"
1986,0.23,0.414,"NOAA"
1987,0.37,0.666,"NOAA"
1988,0.38,0.684,"NOAA"
1989,0.3,0.54,"NOAA"
1990,0.43,0.774,"NOAA"
1991,0.41,0.738,"NOAA"
1992,0.26,0.468,"NOAA"
1993,0.29,0.522,"NOAA"
1994,0.34,0.612,"NOAA"
1995,0.46,0.828,"NOAA"
1996,0.32,0.576,"NOAA"
1997,0.52,0.936,"NOAA"
1998,0.64,1.152,"NOAA"
1999,0.45,0.81,"NOAA"
2000,0.43,0.774,"NOAA"
2001,0.55,0.99,"NOAA"
2002,0.61,1.098,"NOAA"
2003,0.62,1.116,"NOAA"
2004,0.58,1.044,"NOAA"
2005,0.66,1.188,"NOAA"
2006,0.62,1.116,"NOAA"
2007,0.61,1.098,"NOAA"
2008,0.54,0.972,"NOAA"
2009,0.64,1.152,"NOAA"
2010,0.71,1.278,"NOAA"
2011,0.58,1.044,"NOAA"
2012,0.63,1.134,"NOAA"
2013,0.67,1.206,"NOAA"
2014,0.74,1.332,"NOAA"
2015,0.9,1.62,"NOAA"
2016,0.94,1.692,"NOAA"
